MIN_ELAPSED,MIN_ENTRY,MAX_ENTRY,MOVE_MODE,MIN_MOVE,MIN_SIGMA,TIER_ENTRY,MIN_MOVE_HIGH,MIN_CONF,KELLY_FRAC,MAX_PER_WINDOW,MAX_SAME_DIR,trades,wins,losses,winrate,pf,pnl,gross_win,gross_loss,final,max_dd,avg_entry,exp_per_trade,score
0.75,0.5,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,99,207,184,23,0.8888888888888888,6.701850107726917,3278.5638119429777,3853.563811942977,-575.0,3778.5638119429777,0.13423648440808736,0.5476473429951692,0.6335389008585465,1896.1492870977183
0.75,0.45,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,99,223,191,32,0.8565022421524664,5.063445170901509,3250.756136721207,4050.756136721207,-800.0,3750.756136721207,0.20273394738180026,0.541695067264574,0.5830952711607547,1537.4813043589595
0.75,0.5,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,3,179,156,23,0.8715083798882681,5.660132119866728,2679.575968923369,3254.5759689233687,-575.0,3179.575968923369,0.13703839131684165,0.5490111731843575,0.5987879260163953,1508.4245929186227
0.75,0.5,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,99,99,148,132,16,0.8918918918918919,6.914212810460409,2365.685124184165,2765.6851241841637,-400.0,2865.685124184165,0.10959861819325788,0.5472635135135135,0.6393743578876122,1466.868387613759
0.75,0.45,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,99,99,153,134,19,0.8758169934640523,5.936744453788272,2344.9536155494307,2819.9536155494293,-475.0,2844.9536155494307,0.1352731722120794,0.5443464052287582,0.6130597687710929,1332.6584703467518
0.65,0.5,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,99,293,229,64,0.7815699658703071,2.924193961559273,3078.7103384948305,4678.710338494837,-1600.0,3578.7103384948305,0.22429036223436893,0.5545836177474404,0.42030175269554,1268.3303972519566
0.75,0.5,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,99,3,132,116,16,0.8787878787878788,6.0568532752414,2022.7413100965614,2422.74131009656,-400.0,2522.7413100965614,0.1125226739170941,0.5483333333333335,0.6129519121504732,1225.8271503611422
0.75,0.45,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,3,195,163,32,0.8358974358974359,4.314710367126999,2651.768293701599,3451.768293701599,-800.0,3151.768293701599,0.20689213220627828,0.5420923076923077,0.5439524705028921,1212.8717924051102
0.75,0.5,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,99,156,133,23,0.8525641025641025,4.81336813344891,2192.686676733124,2767.6866767331235,-575.0,2692.686676733124,0.1461928016731072,0.5501153846153847,0.5622273530084932,1179.6062048949461
0.65,0.45,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,99,311,238,73,0.7652733118971061,2.7075401590125754,3116.260790197945,4941.26079019795,-1825.0,3616.260790197945,0.2578449190085992,0.5487395498392283,0.40080524632771,1173.9761127793686
0.75,0.5,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,99,278,226,52,0.8129496402877698,3.3498049952108753,3054.746493774137,4354.746493774138,-1300.0,3554.746493774137,0.2815883988548296,0.5800467625899282,0.4395318696077895,1167.8937447815642
0.75,0.5,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,3,154,131,23,0.8506493506493507,4.73778910053546,2149.22873280789,2724.2287328078896,-575.0,2649.22873280789,0.1461928016731072,0.5503116883116883,0.5582412293007507,1153.6302642547832
0.75,0.45,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,99,3,137,118,19,0.8613138686131386,5.214757476761739,2002.009801461827,2477.009801461826,-475.0,2502.009801461827,0.13875456412043038,0.545036496350365,0.5845284091859348,1108.8993971041373
0.75,0.45,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,99,292,232,60,0.7945205479452054,3.0154502517947677,3023.1753776921514,4523.175377692151,-1500.0,3523.1753776921514,0.33385143890687974,0.574291095890411,0.4141336133824865,1028.5043409825012
0.75,0.45,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,99,171,140,31,0.8187134502923976,3.8256503245307787,2189.8790015113536,2964.8790015113536,-775.0,2689.8790015113536,0.19480095397770097,0.5426198830409358,0.5122523980143517,1007.6885947619353
0.75,0.5,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,2,99,117,101,16,0.8632478632478633,5.25916451151314,1703.6658046052567,2103.6658046052557,-400.0,2203.6658046052567,0.11886524667262688,0.5493589743589744,0.5824498477282929,996.7636411808634
0.65,0.5,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,3,266,202,64,0.7593984962406015,2.563953114038936,2502.324982462298,4102.324982462298,-1600.0,3002.324982462298,0.22901027692102446,0.5561203007518797,0.3762894710469621,991.7646449057602
0.75,0.45,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,2,3,169,138,31,0.8165680473372781,3.7695755581756383,2146.42105758612,2921.42105758612,-775.0,2646.42105758612,0.19480095397770097,0.5427100591715976,0.5080286526831053,985.1029073133353
0.75,0.5,0.62,pct,0.001,-,0.45,0.0008,0.6,0.15,2,3,116,100,16,0.8620689655172413,5.204842081606597,1681.9368326426397,2081.936832642639,-400.0,2181.9368326426397,0.11886524667262688,0.5494827586206896,0.5799782181526344,982.7068004243519
0.65,0.45,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,3,283,211,72,0.7455830388692579,2.424930796758564,2564.8754341654126,4364.875434165415,-1800.0,3064.8754341654126,0.25698306825870093,0.5495512367491165,0.3625265631329205,942.9938297023868
0.85,0.5,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,99,85,75,10,0.8823529411764706,6.330250831502766,1332.5627078756925,1582.5627078756913,-250.0,1832.5627078756925,0.07206038144373414,0.5454705882352942,0.627088333117973,912.7097683711966
0.75,0.5,0.7,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,3,250,198,52,0.792,2.889045115965022,2455.758650754529,3755.7586507545284,-1300.0,2955.758650754529,0.2875636009985597,0.5846520000000001,0.39292138412072464,904.5259239021645
0.85,0.45,0.62,pct,0.0006,-,0.45,0.0008,0.6,0.15,99,99,95,81,14,0.8526315789473684,4.9943775167178055,1398.032130851233,1748.032130851232,-350.0,1898.032130851233,0.08115220776948387,0.5383157894736842,0.588645107726835,899.8930968751084
